Model,Accuracy,Precision,Recall,F1-Score
KNN,0.956140350877193,0.9743589743589743,0.9047619047619048,0.9382716049382716
Decision Tree,0.9385964912280702,0.9487179487179487,0.8809523809523809,0.9135802469135802
Naive Bayes,0.3684210526315789,0.3684210526315789,1.0,0.5384615384615384
